Generation,Best_Fitness,Avg_Fitness
0,0.35,0.6831818181818182
1,0.35,0.6387700534759359
2,0.35,0.6224184782608696
3,0.35,0.6029569892473119
4,0.35,0.6081967213114755
5,0.35,0.6091954022988506
6,0.35,0.603125
7,0.35,0.6184285714285714
8,0.35,0.6239825581395348
9,0.35,0.6089285714285714
10,0.35,0.6077777777777779
11,0.35,0.6138081395348838
12,0.35,0.6264627659574469
13,0.35,0.6122282608695653
14,0.35,0.615819209039548
15,0.35,0.6255617977528091
16,0.35,0.6218390804597701
17,0.35,0.6135057471264368
18,0.35,0.6081818181818182
19,0.35,0.6242774566473989
20,0.35,0.6242977528089888
21,0.35,0.6455026455026455
22,0.35,0.6448138297872341
23,0.35,0.6137434554973822
24,0.35,0.6146978021978022
25,0.35,0.602038043478261
26,0.35,0.6065476190476191
27,0.35,0.6068181818181818
28,0.35,0.6152702702702703
29,0.35,0.6103107344632769
30,0.35,0.6060294117647058
31,0.35,0.594535519125683
32,0.35,0.6081944444444444
33,0.35,0.6136612021857925
34,0.35,0.6193681318681319
35,0.35,0.6212962962962962
36,0.35,0.6142076502732241
37,0.35,0.6204663212435233
38,0.35,0.606151832460733
39,0.35,0.6078947368421053
40,0.32499999999999996,0.6292780748663102
41,0.32499999999999996,0.6096153846153847
42,0.32499999999999996,0.6052356020942408
43,0.32499999999999996,0.6138297872340426
44,0.32499999999999996,0.5921875000000001
45,0.32499999999999996,0.6074175824175824
46,0.32499999999999996,0.5938829787234042
47,0.32499999999999996,0.5894285714285714
48,0.32499999999999996,0.5873529411764705
49,0.32499999999999996,0.5976388888888889
50,0.32499999999999996,0.5925757575757576
51,0.32499999999999996,0.6067251461988304
52,0.32499999999999996,0.6048192771084338
53,0.32499999999999996,0.6047337278106509
54,0.32499999999999996,0.6023876404494382
55,0.32499999999999996,0.6148044692737431
56,0.32499999999999996,0.6043055555555555
57,0.32499999999999996,0.5951923076923077
58,0.32499999999999996,0.5930706521739131
59,0.32499999999999996,0.5903409090909091
60,0.32499999999999996,0.6011173184357541
61,0.32499999999999996,0.5723756906077347
62,0.32499999999999996,0.6004335260115607
63,0.32499999999999996,0.5902777777777778
64,0.32499999999999996,0.5941265060240963
65,0.32499999999999996,0.6
66,0.32499999999999996,0.5863235294117647
67,0.32499999999999996,0.596764705882353
68,0.32499999999999996,0.5899096385542169
69,0.32499999999999996,0.6066860465116278
70,0.32499999999999996,0.5889344262295082
71,0.32499999999999996,0.600679347826087
72,0.32499999999999996,0.6043193717277486
73,0.32499999999999996,0.5993556701030928
74,0.32499999999999996,0.5938186813186813
75,0.32499999999999996,0.5927777777777778
76,0.32499999999999996,0.6032670454545456
77,0.32499999999999996,0.5969325153374234
78,0.32499999999999996,0.6056686046511629
79,0.32499999999999996,0.5915229885057471
80,0.32499999999999996,0.5938271604938272
81,0.32499999999999996,0.5906832298136646
82,0.32499999999999996,0.6037267080745342
83,0.32499999999999996,0.6200949367088607
84,0.32499999999999996,0.5953216374269007
85,0.32499999999999996,0.6257309941520468
86,0.32499999999999996,0.6155172413793104
87,0.32499999999999996,0.6081845238095238
88,0.32499999999999996,0.6085889570552148
89,0.32499999999999996,0.6047752808988764
90,0.32499999999999996,0.5862994350282486
91,0.32499999999999996,0.6107843137254901
92,0.32499999999999996,0.6021103896103895
93,0.32499999999999996,0.622470238095238
94,0.32499999999999996,0.601271186440678
95,0.32499999999999996,0.6001453488372093
96,0.32499999999999996,0.6192090395480226
97,0.32499999999999996,0.6063513513513513
98,0.32499999999999996,0.6020718232044199
99,0.32499999999999996,0.6005464480874316
100,0.32499999999999996,0.5973011363636364
